8
3
11
2
0
8
12
10
10
8
5
1
Print stack
41 4 true
22 4 true
67 6 false
35 10 false
45 1 true
15 12 false
0 0 true
8 5 true
2 10 true
11 4 false
12 6 false
7 2 false
4 10 false
5 5 false
3 12 false
Print BST in inorder
0 0 true
2 10 true
3 12 false
4 10 false
5 5 false
7 2 false
8 5 true
11 4 false
12 6 false
15 12 false
22 4 true
35 10 false
41 4 true
45 1 true
67 6 false
Print BST in preorder
11 4 false
7 2 false
2 10 true
0 0 true
3 12 false
5 5 false
4 10 false
8 5 true
12 6 false
15 12 false
45 1 true
35 10 false
22 4 true
41 4 true
67 6 false
